"ID","IV","DV"
1,1.53342199896458,72.8124714319509
2,1.93712589541679,69.7349879742251
3,2.45787471962856,70.2072153953513
4,0.935916050847546,75.5581452910167
5,1.78837227525571,67.5695758109988
6,2.2799237316803,67.4600855995374
7,2.11127706584401,70.3626034756319
8,2.64039346600472,69.1903070604055
9,2.33069237089622,69.7058438232559
10,2.46945364924068,71.3529235340555
11,2.38104178868949,69.914425065121
12,1.54419846090929,72.854830402974
14,1.70491310440025,71.0409406358542
15,1.33791706096488,74.7415998046845
16,1.44613764072384,71.9114960426908
17,2.41620839701007,67.8629519719599
18,2.35990382302115,68.7823990115012
19,1.90265324090094,67.8446755748376
20,0.788767526626491,74.9563501071771
21,3.14416866662749,65.7840919535965
22,1.20988552485687,73.6945159810769
23,1.99235068251574,70.3022606600878
24,2.12065272588689,69.9569183695436
25,2.01031272658063,69.4454802386132
26,1.84651919925449,71.8334025476368
27,1.71717563713528,69.3664749756277
28,2.07345968409293,67.6120429951796
29,2.54318844946379,67.7366023717845
30,1.87885568411183,71.6347929381233
31,2.72468373528483,69.5619717522814
32,1.50558069301141,71.7519323685341
33,0.821930846048919,71.8953052633413
34,2.29507606947265,71.7435538928897
35,1.82536605601395,70.7698401856336
36,2.29487132535478,70.9586184991593
37,2.2518004629125,68.6479247906752
38,2.01589799563237,69.5512138247037
39,2.55693999769724,66.8362479597867
40,1.69829643546561,71.8444715694147
41,3.14075294755585,66.4689856304879
42,1.71740750023969,69.2042094838716
43,2.03435717148933,68.6531322505519
44,2.89707339770122,68.0534112877413
45,2.45802650286919,68.650415633243
46,1.80086529229908,69.86478986343
47,1.66526022969331,67.9175905346957
48,1.70237976794785,71.5198185856362
49,1.74068335214151,72.7958377324939
50,1.78724359766292,71.153854337687
51,2.21833532513772,70.7951091946505
52,2.36404842745876,67.3034910730522
53,1.65258109175042,71.4746485979099
54,2.21396608925292,69.4147722539215
55,0.939671036510814,75.8905248096861
56,2.72116603752272,68.9545419698227
57,1.38972764508222,72.956621865602
58,1.63475862385102,72.35105137584
59,1.38299663866534,71.9693691298646
60,2.33807099764782,66.7053174216963
61,2.41733584580987,67.0644078673192
62,2.86426883858306,67.2255066616191
63,2.19100276571965,71.2025450979789
64,1.80777183084911,71.2431636410386
65,2.41575936349187,67.4628587233996
66,1.22734523454791,71.9803608720243
67,2.28475908259863,71.9321165641738
68,2.0778044611812,68.9674462730587
69,2.05263354612222,68.9729727188988
70,1.68034737673699,71.1496260432231
71,1.57872765879876,70.0597453894018
72,1.79990109000275,70.3857898554708
73,1.89033806045431,70.0244080581046
74,1.26952520776936,71.5943894542375
75,1.25984069489731,71.4108218148866
76,1.52257108451487,73.1761039207406
77,1.59794341037072,74.0068631116039
78,2.01000024662076,68.8077137318169
79,2.48872876285081,70.2921602321471
80,1.75746245021548,71.4558398588267
81,0.838292058123147,72.05015631576
82,2.69453979426988,67.8743934774042
83,1.7707009747683,70.1072689307168
